,Total_Rev_Predicted,Revenue: Hydro Only,group,E,Cap,Net_rev_ES,5-yr ROI%,Pay back period
63,13331373.09,8876245.487478148,64,154.35000000000002,51.45,4455127.602521852,-10.533367646878375,17.675480373338015
64,13331738.09,8876245.487478148,65,205.8,51.45,4455492.602521852,-12.12719552553931,20.998859257199353
65,14385528.0,8876245.487478148,66,27.86,55.72,5509282.512521852,13.712458769263934,6.992110848458934
66,14385893.0,8876245.487478148,67,55.72,55.72,5509647.512521852,2.265969488124872,8.955026409260924
67,14386258.0,8876245.487478148,68,111.44,55.72,5510012.512521852,-6.184313918752649,12.601503201373879
68,14386623.0,8876245.487478148,69,167.16,55.72,5510377.512521852,-9.524327310274279,15.810414238758856
69,14386988.0,8876245.487478148,70,222.88,55.72,5510742.512521852,-11.404542533675325,19.02894224954781
70,15493916.56,8876245.487478148,71,30.0,60.0,6617671.072521852,17.5842821431179,6.251202636518567
71,15494281.56,8876245.487478148,72,60.0,60.0,6618036.072521852,4.811242078557151,8.015215552770155
72,15494646.56,8876245.487478148,73,120.0,60.0,6618401.072521852,-4.823462698573851,11.39869464458268
73,15495011.56,8876245.487478148,74,180.0,60.0,6618766.072521852,-8.583598031357623,14.394035550331685
74,15495376.56,8876245.487478148,75,240.0,60.0,6619131.072521852,-10.739391790529389,17.504461738927148
