,Storage Discharge Energy to Grid (MWh),Storage RegUp (MWh),Storage RegDn (MWh),Storage Spin (MWh),LOSS (%),group,Day
203,13.312276,36.66974,90.87538,16.625317,0.06854979,1,4/29/2019
204,18.910755,39.393524,28.651106,0.0,0.06271255,1,4/3/2019
205,47.793224,70.82095,84.07277,0.0,0.036193408,1,4/30/2019
206,3.8407028,0.0,63.75584,14.426831,0.08238349,1,4/4/2019
207,25.861805,49.973846,41.124096,0.0,0.047597703,1,4/5/2019
208,52.666782,165.99875,186.56569,7.187718,0.051500704,1,4/6/2019
209,36.951435,206.12729,206.05685,71.787285,0.07424047,1,4/7/2019
210,9.217656,0.0,0.0,0.0,0.04813331,1,4/8/2019
211,5.84467,40.087585,0.0,10.807683,0.08192528,1,4/9/2019
212,11.441762,73.182526,58.444256,3.4177368,0.08768746,1,5/1/2019
213,23.839695,66.505585,49.084667,0.0,0.10618714,1,5/10/2019
214,18.409855,9.043548,29.661726,0.0,0.086886615,1,5/11/2019
215,25.36887,97.28122,53.21574,21.984882,0.07199202,1,5/12/2019
216,39.84026,112.660645,109.50658,30.37978,0.07469846,1,5/13/2019
217,2.5829666,0.0,0.0,8.892072,0.09338306,1,5/14/2019
218,24.881214,38.84018,31.715498,0.0,0.06423019,1,5/15/2019
219,56.66226,159.75067,220.04962,19.77248,0.051306497,1,5/16/2019
220,0.0,0.0,0.0,0.0,0.07204281,1,5/17/2019
221,0.0,0.0,0.0,0.0,0.07479824,1,5/18/2019
222,69.42493,175.89224,84.36659,0.0,0.06322456,1,5/19/2019
223,79.285614,181.56631,120.088165,0.0,0.06379423,1,5/2/2019
224,66.13595,278.0133,205.6608,22.618237,0.065900736,1,5/20/2019
225,94.555824,90.41742,48.30586,0.0,0.04975238,1,5/21/2019
226,34.958332,97.07175,16.723738,0.0,0.051126566,1,5/22/2019
227,49.271732,115.212036,61.190502,0.0,0.050452754,1,5/23/2019
228,23.13895,71.5177,60.65095,0.0,0.046793666,1,5/24/2019
229,0.0,16.683165,16.811872,16.702267,0.06712038,1,5/25/2019
230,11.259557,22.599943,25.586134,0.0,0.07455778,1,5/26/2019
231,19.31934,77.82715,92.85249,14.756612,0.09851788,1,5/27/2019
232,11.201711,0.8124073,24.596388,0.688214,0.074810244,1,5/28/2019
233,28.707264,105.79562,114.8015,28.325924,0.062479164,1,5/29/2019
234,7.065663,54.198517,52.20747,6.9741178,0.110102974,1,5/3/2019
235,24.310978,34.71646,34.690838,8.335462,0.07498871,1,5/30/2019
236,29.962482,92.53186,92.34456,0.0,0.103039384,1,5/31/2019
237,37.39159,130.7799,68.18901,9.347119,0.041497216,1,5/4/2019
238,7.5464673,35.15222,46.587414,4.5666013,0.0815874,1,5/5/2019
239,1.2154738,4.502227,20.784254,0.0,0.10954468,1,5/6/2019
240,0.0,0.0,46.962994,0.0,0.07102488,1,5/7/2019
241,0.0,0.0,13.571668,4.17265,0.06643761,1,5/8/2019
242,1.981465,0.0,2.9510014,4.88641,0.07157915,1,5/9/2019
243,27.337421,53.909668,49.695843,0.0,0.072194435,1,6/1/2019
244,108.9649,224.8117,0.0,0.0,0.0847239,1,6/10/2019
245,100.57038,95.84128,0.0,0.0,0.064603426,1,6/11/2019
246,6.343434,50.59143,16.636122,0.0,0.09055643,1,6/12/2019
247,20.507374,82.258545,59.433575,7.423001,0.03976893,1,6/13/2019
248,48.726887,104.23236,84.07445,0.0,0.06995753,1,6/14/2019
249,8.058782,23.101774,29.727125,0.2604949,0.06760777,1,6/15/2019
250,9.061315,42.592316,42.428265,5.7836576,0.08300866,1,6/16/2019
251,6.8355603,15.860595,30.390303,0.0,0.056725014,1,6/17/2019
252,0.0,0.0,95.58513,2.4539764,0.08384768,1,6/18/2019
253,5.645161,0.0,4.4321723,5.9553647,0.086835146,1,6/19/2019
254,0.0,21.572905,2.0467045,21.52901,0.06412731,1,6/2/2019
255,16.397633,31.746183,17.425306,0.0,0.062393267,1,6/20/2019
256,9.524861,25.664732,14.199231,0.0,0.05861883,1,6/21/2019
257,2.2047164,28.579008,0.0,11.474156,0.10886034,1,6/22/2019
258,0.0,0.0,0.0,42.741467,0.09138218,1,6/23/2019
259,4.85619,10.277495,11.872296,0.0,0.05972484,1,6/24/2019
260,0.0,0.0,0.0,14.001653,0.09582494,1,6/25/2019
261,11.0147295,82.704834,38.717937,0.9594237,0.119348235,1,6/26/2019
262,12.332952,1.9544971,25.08,4.842816,0.089695066,1,6/27/2019
263,28.233372,129.60248,65.04143,3.1847808,0.11690914,1,6/28/2019
264,21.76749,69.41922,60.17268,11.694058,0.08167387,1,6/29/2019
265,22.471851,2.0077198,38.363842,0.0,0.09407609,1,6/3/2019
266,1.1748396,0.75173837,14.558454,0.0,0.057273395,1,6/30/2019
267,0.0,13.190948,57.734295,78.39375,0.0670189,1,6/4/2019
268,21.406544,0.0,0.0,0.0,0.060756452,1,6/5/2019
269,5.151753,34.167236,10.104199,8.758359,0.09617452,1,6/6/2019
270,13.208592,12.001006,22.906477,2.5641906,0.087518655,1,6/7/2019
271,11.148335,46.63907,55.007366,7.885487,0.08719294,1,6/8/2019
272,10.610311,21.799406,27.517073,0.0,0.07101231,1,6/9/2019
273,0.0,0.0,0.0,13.1522875,0.07485827,1,7/1/2019
274,9.145574,35.822723,30.445906,0.0,0.046562497,1,7/10/2019
275,12.549764,38.288513,30.569044,0.0,0.05197607,1,7/11/2019
276,10.06043,28.286985,20.73451,0.0,0.094300926,1,7/12/2019
277,9.44634,36.02643,22.227186,0.0,0.0611271,1,7/13/2019
278,5.458836,28.760283,60.338573,0.0,0.046184037,1,7/14/2019
279,0.0,16.329466,16.882887,0.0,0.0927379,1,7/15/2019
280,7.1084027,35.344727,14.747724,0.0,0.078944035,1,7/16/2019
281,13.355702,31.437529,22.141523,1.6010711,0.038731035,1,7/17/2019
282,3.3206527,22.22537,17.030409,0.0,0.08440814,1,7/18/2019
283,12.752629,85.059326,64.3893,0.0,0.07242557,1,7/19/2019
284,9.069173,62.07541,53.157207,7.2044034,0.0487319,1,7/2/2019
285,11.386525,8.960357,31.8972,0.0,0.054502398,1,7/20/2019
286,9.092946,66.45062,29.60356,0.0,0.07182358,1,7/21/2019
287,0.0,28.613249,0.0,0.0,0.10402166,1,7/22/2019
288,4.6368756,0.0,4.9372687,3.6351593,0.068363264,1,7/23/2019
289,4.4772687,7.307952,33.56901,0.0,0.06224679,1,7/24/2019
290,9.097508,39.264343,29.887648,0.0,0.052781302,1,7/25/2019
291,5.843785,14.46234,22.14363,0.0,0.07661418,1,7/26/2019
292,7.4630017,18.19995,18.514265,0.0,0.060791895,1,7/27/2019
293,10.236684,55.399414,28.121382,0.0,0.07729293,1,7/28/2019
294,14.017751,76.0943,47.701885,0.0,0.06545946,1,7/29/2019
295,19.189564,61.07196,40.8448,0.0,0.07346444,1,7/3/2019
296,0.0,230.55829,144.20131,110.94556,0.027338069,1,7/30/2019
297,11.266179,80.24777,33.234722,12.377103,0.11090262,1,7/31/2019
298,16.58614,36.26242,48.062847,0.0,0.06265365,1,7/4/2019
299,4.6179852,25.27072,21.930708,0.0,0.07863047,1,7/5/2019
300,1.9572951,0.0,16.143415,7.435078,0.083220825,1,7/6/2019
301,27.939518,0.0,318.9924,34.058323,0.04458394,1,7/7/2019
302,12.336476,58.761963,41.31422,0.0,0.06487817,1,7/8/2019
303,6.067387,31.833189,31.465193,0.0,0.06885779,1,7/9/2019
304,12.608022,44.017487,32.055614,0.0,0.059916675,1,8/1/2019
305,1.1046492,8.404998,6.4545417,0.0,0.0799199,1,8/10/2019
306,0.0,17.53317,19.800825,0.22695607,0.0983303,1,8/11/2019
307,20.296574,67.95215,26.862928,0.0,0.062438514,1,8/12/2019
308,23.415546,37.1026,6.2380195,0.0,0.074591406,1,8/13/2019
309,8.1392565,4.2443533,0.0,5.1402097,0.063973546,1,8/14/2019
310,14.617696,10.042693,0.0,0.0,0.04712221,1,8/15/2019
311,11.12473,35.157684,20.554548,0.0,0.05780013,1,8/16/2019
312,17.173328,32.44043,38.703197,0.0,0.060694262,1,8/17/2019
313,0.0,0.0,0.0,0.0,0.10005485,1,8/18/2019
314,8.985173,8.895598,7.638532,0.0,0.053031836,1,8/19/2019
315,14.990117,73.16913,25.914473,0.09846181,0.107066795,1,8/2/2019
316,15.202214,16.048918,1.013715,0.0,0.05015954,1,8/20/2019
317,16.630756,37.211334,29.428846,0.0,0.06413085,1,8/21/2019
318,0.11601703,18.20999,15.212781,0.0,0.080468066,1,8/22/2019
319,12.312551,23.901365,0.0,0.0,0.05021482,1,8/23/2019
320,19.83675,74.09738,46.995342,0.0,0.0714222,1,8/24/2019
321,4.743855,14.8644705,18.278517,0.0,0.04536348,1,8/25/2019
322,13.226354,33.910522,21.075514,0.0,0.051259298,1,8/26/2019
323,8.966542,16.456846,10.901868,0.0,0.047617562,1,8/27/2019
324,14.140523,26.45175,11.771161,0.0,0.05920688,1,8/28/2019
325,11.553243,30.615843,21.315504,0.0,0.050650906,1,8/29/2019
326,2.2849014,9.468535,17.940657,8.242894,0.08221975,1,8/3/2019
327,10.418523,15.94522,7.620771,0.0,0.059209332,1,8/30/2019
328,16.009617,46.121155,20.654737,0.0,0.06415401,1,8/31/2019
329,12.863835,36.07831,30.566236,0.0,0.068051875,1,8/4/2019
330,15.430043,39.280212,23.544752,0.0,0.06818357,1,8/5/2019
331,14.126622,47.855896,34.490704,0.0,0.054678842,1,8/6/2019
332,10.513387,27.377409,24.920118,0.0,0.0736848,1,8/7/2019
333,8.358251,0.0,0.0,177.68266,0.04990173,1,8/8/2019
334,19.727802,49.51169,37.30061,0.0,0.06898911,1,8/9/2019
335,13.711598,33.493866,20.538588,0.0,0.05525411,1,9/1/2019
